X;Y;Z;depth;Bed_Alt
582404.5841;130518.0406;2809.493721;16.762764;2792.731
582395.5218;130531.0831;2810.264378;10.949954;2799.314
582416.0519;130495.6199;2811.137841;22.711459;2788.426
582428.2737;130475.9283;2812.18434;23.504747;2788.68
582432.073;130470.5054;2812.565535;21.280897;2791.285
582439.0989;130458.0562;2813.450892;21.226355;2792.225
582445.5952;130448.8237;2814.185128;20.256113;2793.929
582452.9062;130437.6447;2814.833159;22.608622;2792.225
582587.0707;130238.8185;2813.6302;37.666248;2775.964
582483.922;130388.8611;2816.725417;6.269742;2810.456
582585.5095;130241.9647;2813.74674;39.500132;2774.247
582578.1802;130254.1418;2814.104506;35.656183;2778.448
582592.2678;130237.867;2813.766247;39.843474;2773.923
582575.7185;130256.6865;2814.130562;36.84543;2777.285
582477.7996;130397.9262;2816.554014;10.656124;2805.898
582581.6617;130250.659;2814.053285;38.415485;2775.638
582600.2997;130226.615;2813.896518;40.416937;2773.479
582462.0821;130422.1312;2815.695897;22.205309;2793.49
582469.9141;130409.4782;2816.360359;16.033094;2800.327
582601.4533;130225.1232;2813.923782;42.968907;2770.955
582507.4512;130353.1676;2817.201015;7.75818;2809.443
582603.013;130222.9775;2813.955794;43.218071;2770.738
582605.8866;130218.8162;2813.996044;44.560431;2769.436
582610.1514;130212.4119;2814.058001;44.304975;2769.753
582514.0851;130340.9879;2817.068695;12.183646;2804.885
582611.8154;130209.9958;2814.09175;46.681819;2767.41
582615.4343;130205.3098;2814.164032;47.591375;2766.573
582622.6483;130196.418;2814.637606;51.740007;2762.898
582625.3224;130192.9193;2814.814739;52.975433;2761.839
582629.9697;130185.4568;2815.052617;52.13161;2762.921
582641.9749;130169.0997;2816.163234;57.279329;2758.884
582640.4402;130171.054;2816.049584;59.780904;2756.269
582641.9749;130169.0997;2816.163234;59.635736;2756.528
582647.9287;130160.3173;2816.74267;62.206414;2754.536
582652.1164;130153.8;2817.276662;64.91423;2752.363
582655.0903;130149.2616;2817.64118;65.030546;2752.611
582661.2715;130140.6324;2818.179063;62.670014;2755.509
582656.8688;130146.4629;2817.823898;68.256383;2749.568
582665.5896;130134.5069;2818.458434;63.645963;2754.813
582664.8618;130135.7591;2818.393283;65.720305;2752.673
582664.8618;130135.7591;2818.393283;65.720305;2752.673
582669.3082;130128.3055;2818.930451;65.953505;2752.977
582673.4231;130121.8804;2819.333022;65.417859;2753.915
582673.4231;130121.8804;2819.333022;65.417859;2753.915
582674.2062;130120.6162;2819.406322;66.553882;2752.853
582667.3378;130106.3768;2819.718975;68.598728;2751.12
582667.3378;130106.3768;2819.718975;68.598728;2751.12
582650.4531;130078.8274;2821.294296;71.726781;2749.568
582638.4249;130032.1069;2824.668839;76.032963;2748.636
582638.4249;130032.1069;2824.668839;76.032963;2748.636
582636.1446;130015.6996;2826.534318;76.035164;2750.499
582636.1446;130015.6996;2826.534318;76.035164;2750.499
584958.9711;130491.4043;2519.80048;9.993962;2509.806
584958.9711;130491.4043;2519.80048;9.993962;2509.806
582886.1551;129826.7063;2824.75125;91.025464;2733.726
582886.1551;129826.7063;2824.75125;91.025464;2733.726
582878.8365;129820.4488;2825.646299;86.236762;2739.409
582878.8365;129820.4488;2825.646299;86.236762;2739.409
582849.9849;129797.9396;2830.183107;77.90302;2752.28
582849.9849;129797.9396;2830.183107;77.90302;2752.28
582871.994;129815.7658;2826.757837;85.769482;2740.988
582871.994;129815.7658;2826.757837;85.769482;2740.988
582860.6843;129807.5555;2828.348389;81.044756;2747.304
582860.6843;129807.5555;2828.348389;81.044756;2747.304
584942.3932;130490.5535;2524.065305;13.363571;2510.702
584942.3932;130490.5535;2524.065305;13.363571;2510.702
582852.3185;129800.0487;2829.756637;77.716545;2752.04
582852.3185;129800.0487;2829.756637;77.716545;2752.04
582830.1805;129777.4166;2834.176525;73.963309;2760.213
582830.1805;129777.4166;2834.176525;73.963309;2760.213
582823.6222;129770.4759;2835.445501;67.960249;2767.485
582823.6222;129770.4759;2835.445501;67.960249;2767.485
582841.1577;129788.2155;2832.129426;75.66864;2756.461
582841.1577;129788.2155;2832.129426;75.66864;2756.461
582838.3302;129785.2936;2832.637303;76.176517;2756.461
582838.3302;129785.2936;2832.637303;76.176517;2756.461
584928.1052;130477.1771;2528.207941;18.699829;2509.508
584928.1052;130477.1771;2528.207941;18.699829;2509.508
582827.6341;129774.3787;2834.780298;71.688469;2763.092
582827.6341;129774.3787;2834.780298;71.688469;2763.092
582821.138;129768.2194;2835.904781;67.129203;2768.776
582821.138;129768.2194;2835.904781;67.129203;2768.776
582804.4801;129753.693;2839.312028;64.885289;2774.427
582804.4801;129753.693;2839.312028;64.885289;2774.427
582818.8412;129766.3157;2836.125754;67.350175;2768.776
582818.8412;129766.3157;2836.125754;67.350175;2768.776
584923.5971;130463.4096;2529.884171;22.464896;2507.419
584923.5971;130463.4096;2529.884171;22.464896;2507.419
582809.5837;129758.6024;2838.276117;64.448316;2773.828
582809.5837;129758.6024;2838.276117;64.448316;2773.828
584914.9669;130452.0435;2532.26975;21.866421;2510.403
584914.9669;130452.0435;2532.26975;21.866421;2510.403
584164.9947;129624.5777;2664.945249;23.45287;2641.492
584156.8407;129627.7068;2667.404554;12.012975;2655.392
584899.9909;130463.5456;2535.958918;24.063562;2511.895
584899.9909;130463.5456;2535.958918;24.063562;2511.895
582607.0805;129862.8659;2844.754766;80.902121;2763.853
582607.0805;129862.8659;2844.754766;80.902121;2763.853
584146.4142;129630.9893;2670.17114;11.249707;2658.921
584145.3653;129631.4824;2670.468529;12.429483;2658.039
584888.1264;130473.1025;2538.808609;20.646739;2518.162
584888.1264;130473.1025;2538.808609;20.646739;2518.162
584873.5348;130481.2894;2541.403869;23.241999;2518.162
584873.5348;130481.2894;2541.403869;23.241999;2518.162
584131.4742;129639.2001;2674.381284;17.665971;2656.715
582598.6067;129818.1705;2851.759324;64.771797;2786.988
582598.6067;129818.1705;2851.759324;64.771797;2786.988
584870.0631;130483.0228;2542.042248;25.372405;2516.67
584870.0631;130483.0228;2542.042248;25.372405;2516.67
582600.6146;129823.2997;2850.674501;80.921475;2769.753
582600.6146;129823.2997;2850.674501;80.921475;2769.753
584129.0916;129639.9126;2674.996729;18.281518;2656.715
584866.5318;130485.3741;2542.661594;23.306103;2519.355
584866.5318;130485.3741;2542.661594;23.306103;2519.355
584857.0804;130493.3177;2544.171021;21.53307;2522.638
584857.0804;130493.3177;2544.171021;21.53307;2522.638
582593.3654;129806.4375;2854.592543;81.423508;2773.169
582593.3654;129806.4375;2854.592543;81.423508;2773.169
582811.2172;130983.0111;2751.052947;10.54591;2740.507
582585.997;129788.0727;2857.889026;78.198518;2779.69
582585.997;129788.0727;2857.889026;78.198518;2779.69
582777.7249;130944.8435;2752.968057;11.220674;2741.747
582773.4382;130940.9076;2753.158715;9.674848;2743.484
582768.7666;130934.7605;2753.644214;9.416139;2744.228
584153.4087;129628.3865;2668.299505;7.798731;2660.501
584153.4087;129628.3865;2668.299505;7.798731;2660.501
582825.8384;130988.0814;2755.918121;16.651429;2739.267
584144.2744;129632.1548;2670.801485;10.041672;2660.76
584144.2744;129632.1548;2670.801485;10.041672;2660.76
582753.2608;130911.6892;2756.708463;11.488112;2745.22
582744.7986;130900.1145;2757.556022;13.824086;2743.732
584791.3405;130347.4424;2554.999677;21.022321;2533.977
584791.3405;130347.4424;2554.999677;21.022321;2533.977
584786.0239;130337.487;2555.778612;17.623579;2538.155
584786.0239;130337.487;2555.778612;17.623579;2538.155
584798.5181;130364.8;2555.334208;23.744095;2531.59
584798.5181;130364.8;2555.334208;23.744095;2531.59
584781.4777;130324.4457;2556.595098;12.173552;2544.422
584781.4777;130324.4457;2556.595098;12.173552;2544.422
584137.4399;129635.5853;2672.659025;12.93537;2659.724
584137.4399;129635.5853;2672.659025;12.93537;2659.724
584777.6812;130317.3227;2557.749735;10.64254;2547.107
584777.6812;130317.3227;2557.749735;10.64254;2547.107
582723.9667;130872.8844;2760.190792;13.978165;2746.213
582713.1311;130863.4178;2760.272806;13.56404;2746.709
584810.5778;130474.7794;2556.152827;37.692552;2518.46
584810.5778;130474.7794;2556.152827;37.692552;2518.46
582696.5672;130852.193;2760.285312;14.816891;2745.469
584050.6446;129661.8743;2688.725012;34.436544;2654.289
582625.698;130816.0182;2759.904685;22.622547;2737.282
582602.4242;130805.8546;2760.138187;21.119565;2739.019
582688.454;130846.5228;2760.532706;17.793047;2742.74
584129.8865;129639.7439;2674.785295;16.615876;2658.169
584129.8865;129639.7439;2674.785295;16.615876;2658.169
582574.7682;130797.558;2760.731938;17.000002;2743.732
