X	Y	Bed_Alt
582700.2921	130904.5012	2757.404
582696.2921	130902.5012	2756.75
582698.2921	130902.5012	2757.465
582700.2921	130902.5012	2758.062
582694.2921	130900.5012	2756.779
582696.2921	130900.5012	2757.413
582690.2921	130898.5012	2756.231
582692.2921	130898.5012	2756.867
582694.2921	130898.5012	2757.474
582684.2921	130896.5012	2755.23
582686.2921	130896.5012	2755.766
582688.2921	130896.5012	2756.328
582690.2921	130896.5012	2756.969
582678.2921	130894.5012	2754.162
582680.2921	130894.5012	2754.837
582682.2921	130894.5012	2755.556
582684.2921	130894.5012	2756.106
582672.2921	130892.5012	2753.282
582674.2921	130892.5012	2753.766
582676.2921	130892.5012	2754.328
582678.2921	130892.5012	2754.949
582664.2921	130890.5012	2752.994
582666.2921	130890.5012	2753.148
582668.2921	130890.5012	2753.364
582670.2921	130890.5012	2753.707
582672.2921	130890.5012	2754.139
582658.2921	130888.5012	2753.283
582660.2921	130888.5012	2753.572
582662.2921	130888.5012	2753.798
582664.2921	130888.5012	2754
582656.2921	130886.5012	2753.671
582658.2921	130886.5012	2753.995
582650.2921	130884.5012	2753.484
582652.2921	130884.5012	2753.712
582654.2921	130884.5012	2753.967
582656.2921	130884.5012	2754.315
582642.2921	130882.5012	2752.265
582644.2921	130882.5012	2752.719
582646.2921	130882.5012	2753.223
582648.2921	130882.5012	2753.756
582650.2921	130882.5012	2754.107
582634.2921	130880.5012	2751.394
582636.2921	130880.5012	2751.817
582638.2921	130880.5012	2752.228
582640.2921	130880.5012	2752.618
582642.2921	130880.5012	2753
582630.2921	130878.5012	2751.119
582632.2921	130878.5012	2751.617
582634.2921	130878.5012	2752.059
582626.2921	130876.5012	2750.717
582628.2921	130876.5012	2751.286
582630.2921	130876.5012	2751.799
582624.2921	130874.5012	2751.078
582626.2921	130874.5012	2751.516
582620.2921	130872.5012	2751.041
582622.2921	130872.5012	2751.495
582624.2921	130872.5012	2751.836
582618.2921	130870.5012	2751.324
582620.2921	130870.5012	2751.689
582614.2921	130868.5012	2751.036
582616.2921	130868.5012	2751.542
582618.2921	130868.5012	2751.971
582610.2921	130866.5012	2750.882
582612.2921	130866.5012	2751.257
582614.2921	130866.5012	2751.779
582608.2921	130864.5012	2751.305
582610.2921	130864.5012	2751.591
582604.2921	130862.5012	2751.652
582606.2921	130862.5012	2751.766
582608.2921	130862.5012	2751.917
582600.2921	130860.5012	2752.125
582602.2921	130860.5012	2752.153
582604.2921	130860.5012	2752.19
582598.2921	130858.5012	2752.568
582600.2921	130858.5012	2752.622
582594.2921	130856.5012	2752.817
