,cell_x,cell_y,X,Y,alt
0,136.0,682.0,582404.5841,130518.0406,-31.11154194638766
1,132.0,689.0,582395.5218,130531.0831,-24.177599841718802
2,142.0,671.0,582416.0519,130495.6199,-36.00955132320496
3,148.0,661.0,582428.2737,130475.9283,-36.161809683715546
4,150.0,658.0,582432.073,130470.5054,-33.63313319241706
5,154.0,652.0,582439.0989,130458.0562,-32.840436019097524
6,157.0,647.0,582445.5952,130448.8237,-31.32389873232387
7,160.0,642.0,582452.9062,130437.6447,-33.21068916967715
8,228.0,542.0,582587.0707,130238.8185,-50.39305831532238
9,176.0,617.0,582483.922,130388.8611,-15.610615482794856
10,227.0,544.0,582585.5095,130241.9647,-52.0324009789324
11,223.0,550.0,582578.1802,130254.1418,-47.812856592246135
12,230.0,542.0,582592.2678,130237.867,-51.995694164546876
13,222.0,551.0,582575.7185,130256.6865,-49.04488350242627
14,173.0,622.0,582477.7996,130397.9262,-20.009599685885405
15,225.0,548.0,582581.6617,130250.659,-50.48404139424292
16,234.0,536.0,582600.2997,130226.615,-52.44790799665634
17,165.0,634.0,582462.0821,130422.1312,-32.18612859591758
18,169.0,628.0,582469.9141,130409.4782,-25.468426934716263
19,235.0,536.0,582601.4533,130225.1232,-54.75222074855765
20,188.0,600.0,582507.4512,130353.1676,-16.743484006083236
21,236.0,534.0,582603.0129999999,130222.9775,-55.04349421672032
22,237.0,532.0,582605.8866,130218.8162,-56.41908604757964
23,239.0,529.0,582610.1514,130212.4119,-56.10106269528933
24,191.0,593.0,582514.0851,130340.9879,-21.75089565535427
25,240.0,528.0,582611.8154,130209.9958,-58.36987535689468
26,242.0,526.0,582615.4343,130205.3098,-59.05773930246278
27,245.0,521.0,582622.6483,130196.418,-62.797336226344214
28,247.0,519.0,582625.3224,130192.9193,-63.70398548251205
29,249.0,516.0,582629.9697,130185.4568,-62.612910835194725
30,255.0,508.0,582641.9749,130169.0997,-66.46899077935677
31,254.0,509.0,582640.4402,130171.054,-69.16283096086954
33,258.0,503.0,582647.9287,130160.3173,-70.86385833572831
34,260.0,500.0,582652.1164,130153.8,-73.01819992779565
35,262.0,498.0,582655.0903,130149.2616,-72.60820511576458
36,265.0,493.0,582661.2715,130140.6324,-69.74731485931352
37,262.0,496.0,582656.8688,130146.4629,-75.93422566735262
38,267.0,490.0,582665.5896,130134.5069,-70.4186354845815
39,266.0,491.0,582664.8618,130135.7591,-72.64153632255238
41,269.0,487.0,582669.3082,130128.3055,-72.22817471294229
42,271.0,484.0,582673.4231,130121.8804,-71.26193254439568
44,271.0,483.0,582674.2062,130120.6162,-72.46351751879047
45,268.0,476.0,582667.3378,130106.3768,-75.84503190417672
47,259.0,462.0,582650.4531,130078.8274,-81.36796534006317
48,253.0,439.0,582638.4249,130032.1069,-86.82967642986614
50,252.0,431.0,582636.1446,130015.6996,-86.28827194860105
52,1413.0,669.0,584958.9711,130491.4043,-45.85428279003827
54,377.0,336.0,582886.1551,129826.7063,-86.11301286619664
56,373.0,333.0,582878.8365,129820.4488,-81.72965147680497
58,359.0,322.0,582849.9849,129797.9396,-73.4745720291894
60,370.0,331.0,582871.994,129815.7658,-81.09654718735374
62,364.0,327.0,582860.6843,129807.5555,-76.67400368841209
64,1405.0,668.0,584942.3932,130490.5535,-46.74246408585759
66,360.0,323.0,582852.3185,129800.0487,-73.35912812063225
68,349.0,312.0,582830.1805,129777.4166,-69.09959272581636
70,346.0,308.0,582823.6222,129770.4759,-63.0142181501833
72,355.0,317.0,582841.1577,129788.2155,-70.83403584834878
74,353.0,316.0,582838.3302,129785.2936,-71.42760300475402
76,1398.0,662.0,584928.1052,130477.1771,-49.83622944315857
78,348.0,310.0,582827.6341,129774.3787,-66.6947217972579
80,345.0,307.0,582821.1379999999,129768.2194,-62.07956400694775
82,336.0,300.0,582804.4801,129753.69300000001,-59.40281361328334
84,343.0,306.0,582818.8412,129766.3157,-62.67453091343759
86,1396.0,655.0,584923.5971,130463.4096,-52.81467031311922
88,339.0,302.0,582809.5837,129758.6024,-59.04912544253739
90,1391.0,649.0,584914.9669,130452.0435,-51.302092830466336
92,1016.0,235.0,584164.9947,129624.5777,-32.648747644451305
93,1012.0,237.0,584156.8407,129627.7068,-19.621955879356847
94,1384.0,655.0,584899.9909,130463.5456,-50.92863972122677
96,238.0,354.0,582607.0805,129862.8659,-86.45157680039028
98,1007.0,238.0,584146.4142,129630.9893,-17.270572924364842
99,1007.0,239.0,584145.3653,129631.4824,-18.093586280167983
100,1378.0,660.0,584888.1264,130473.1025,-45.621899276156
102,1371.0,664.0,584873.5348,130481.2894,-46.85798320715139
104,1000.0,243.0,584131.4742,129639.2001,-20.908311726613647
105,233.0,332.0,582598.6067,129818.1705,-67.34858276390332
107,1369.0,665.0,584870.0631,130483.0228,-48.71177854205007
109,234.0,335.0,582600.6146,129823.2997,-83.96028934421292
111,999.0,243.0,584129.0916,129639.9126,-21.155087468976035
112,1367.0,666.0,584866.5318,130485.3741,-46.38814600788737
114,1363.0,670.0,584857.0804,130493.3177,-43.68836304786146
116,231.0,326.0,582593.3654,129806.4375,-82.413174595084
118,340.0,915.0,582811.2172,130983.0111,-3.082857354346743
119,227.0,317.0,582585.997,129788.0727,-77.99518842878206
121,323.0,895.0,582777.7249,130944.8435,-8.534841589418193
122,321.0,893.0,582773.4382,130940.9076,-7.525470172383848
123,318.0,890.0,582768.7666,130934.7605,-7.873401448339791
124,1011.0,237.0,584153.4087,129628.3865,-14.760268471398831
126,347.0,917.0,582825.8384,130988.0814,-2.648410528595832
127,1006.0,239.0,584144.2744,129632.1548,-15.619715048936541
129,311.0,879.0,582753.2608,130911.6892,-10.119349528888506
130,306.0,873.0,582744.7986,130900.1145,-13.602306885123198
131,1330.0,597.0,584791.3405,130347.4424,-44.43109148894655
133,1327.0,592.0,584786.0239,130337.487,-41.24016930132393
135,1333.0,605.0,584798.5181,130364.8,-45.6341775672654
137,1325.0,585.0,584781.4777,130324.4457,-35.868868237676
139,1003.0,241.0,584137.4399,129635.5853,-17.2781926126936
141,1323.0,582.0,584777.6812,130317.3227,-33.82002006843368
143,296.0,859.0,582723.9667,130872.8844,-15.45809420917567
144,291.0,855.0,582713.1311,130863.4178,-16.61882613081525
145,1339.0,660.0,584810.5778,130474.7794,-53.71976590911663
147,282.0,849.0,582696.5672,130852.19300000001,-20.639442502964357
148,959.0,254.0,584050.6446,129661.8743,-32.747330515889644
149,247.0,831.0,582625.698,130816.0182,-38.76824580796983
150,235.0,826.0,582602.4242,130805.8546,-40.252234391056845
151,278.0,846.0,582688.454,130846.5228,-24.663032762120565
154,221.0,822.0,582574.7682,130797.558,-38.98684980709959
155,229.0,823.0,582590.1643,130800.9465,-40.21587884603787
156,252.0,833.0,582636.3157,130819.4294,-38.6824879529363
157,957.0,254.0,584045.5829,129661.9027,-34.34272348998729
158,276.0,845.0,582683.4539,130843.2722,-27.705961884334556
159,260.0,836.0,582652.0735,130825.0408,-35.10999564438407
160,270.0,841.0,582672.6696,130835.8617,-31.052701372321735
161,274.0,843.0,582679.3443,130840.1843,-30.17665335855054
162,265.0,838.0,582662.0198,130829.8514,-34.53109252928107
163,353.0,913.0,582837.7227,130980.6025,-0.9557702578508724
164,1335.0,614.0,584801.8525,130381.9075,-50.86785054158236
166,1183.0,469.0,584497.7101,130091.5887,-14.408904951431396
168,951.0,254.0,584034.1514,129662.0793,-34.71278545116775
169,339.0,914.0,582810.1331,130981.719,-4.072561246132409
170,332.0,906.0,582796.5260000001,130966.7779,-8.80887617097369
171,157.0,446.0,582446.2461,130045.4465,-42.24323762263111
172,348.0,916.0,582828.8085,130986.9608,-2.897732321557669
173,995.0,244.0,584121.6417,129641.8036,-23.21775100821924
175,161.0,442.0,582453.2217,130038.3791,-48.52854342203409
176,167.0,437.0,582465.9437,130028.7713,-50.82521639015613
177,945.0,256.0,584021.8068,129666.3459,-35.39486011488998
178,943.0,257.0,584017.7911,129667.4757,-37.585098143148116
179,1335.0,644.0,584802.1807,130442.4697,-55.10071994903274
181,175.0,435.0,582481.4654,130024.6026,-54.25202815332159
