,X,Y,alt
1434616,1644,619,14.352361334620582
1335564,945,659,-6.051141679870852
1290237,1841,678,3.0733020046122874
1794455,1783,449,17.32288252025046
1350086,1165,653,-30.183819917596338
230805,1831,1160,-46.3679022071492
1769524,604,461,38.125781083495895
457968,2604,1027,-15.05589544962686
343864,2045,1087,20.089683897085706
498540,1784,1006,6.1483836980851265
710954,3388,912,-6.535663520526214
1923107,1122,381,-17.452748118771524
672937,2277,927,-15.095358978578133
1326868,1885,663,24.865470701925005
1769332,2404,462,31.717251837907497
782889,2373,883,15.399331745904874
956900,2160,815,34.291606168562794
200698,1823,1180,-56.12222935734599
2051793,818,307,24.286790156830648
684507,1677,922,-12.597009728845478
1278280,2096,683,34.95423928704031
1785852,1066,453,-11.151087751019531
384654,1791,1065,5.618884873757452
330759,1903,1094,2.6601449865565883
1598822,2424,544,8.64243666917173
1229805,1735,703,15.612261917757223
24971,2724,1424,16.345567137641865
293572,1785,1117,-14.728443830594642
191831,2948,1187,16.98119429057988
1910473,1343,388,-0.2729896112005008
226843,2966,1163,18.87757773555768
693078,2881,919,-25.040509605434636
20486,2753,1437,14.839359254231567
1379370,1829,641,26.79524758340267
166746,2931,1208,25.49992973567805
192598,1869,1186,-64.4874595319393
792653,2028,879,16.420410336751047
1389723,2209,637,-3.9787011672078734
1535388,2021,574,22.422782044647192
993799,1203,800,-18.085779590453967
705423,2836,914,-24.270184007122225
1765362,2424,464,37.7160470726285
1100287,2126,757,34.965625816743795
1655563,1689,517,18.472878110415422
343047,3085,1088,-18.96350852016849
1032459,2711,785,-11.727209122623663
1099550,1389,757,-24.50561882173224
341564,1602,1088,-18.087686972689426
1782199,1367,455,-9.353188221397886
1522767,1628,580,24.185724221323653
960101,2820,814,-12.73204332639807
1960223,2155,361,22.030828455229766
73833,2758,1325,21.805411547120457
1253035,1074,693,-18.51177136830438
820807,2034,868,19.38963811826352
1694075,2366,499,7.022507139346999
100188,2908,1282,29.747885418464648
2143747,2006,250,-8.66260885409929
518095,2876,997,-23.109180498425758
1512082,1076,585,-26.89237522174517
1949584,2245,367,36.527520324461875
1128042,3273,746,-32.16633404769709
104680,3080,1275,-10.87314674731806
676002,2919,926,-25.07968043440178
1159535,1134,732,-23.7990912156215
1759412,2471,467,35.288121804187995
1041184,1609,781,-5.573719336463
1725590,936,483,-15.31580255192057
277336,1982,1128,-16.17867787811747
1086825,3268,763,-24.393085989031533
398862,2831,1058,-13.959160297799826
937865,3476,823,-80.97648662140546
904190,2973,836,-21.45046213751357
965521,3159,812,37.81893321804637
858609,1256,853,-15.515739265932552
608687,2964,955,-22.43732969915436
89485,2630,1299,23.068635436532986
1781867,1035,455,-8.905790223101576
2111723,2077,271,1.8700432951118273
816396,2762,870,-24.043792331377972
2038265,2342,316,2.58609852068912
649944,3070,937,-38.68114840648923
1722776,2198,485,-1.9741794525325531
1311134,3171,670,-27.380731706502047
1037460,2795,783,-7.127665267423254
651429,2222,936,2.6070078805651065
679661,1711,924,-0.4871494150752369
890573,2226,841,-2.0870951893712117
1363946,3139,648,-22.626400323094458
1673548,695,508,65.61650966475963
1533055,1722,575,38.195566808172316
1493427,378,594,30.473122924674044
664862,1443,930,-19.351087872665175
1040462,3341,782,-51.004786274294474
1557230,1185,563,-33.187702182550765
1932569,1479,376,-7.87203937101458
690518,2785,920,-40.63138053353214
1308861,330,670,26.039914611013046
607754,2031,955,24.864141082208334
1050354,3418,778,-91.9403967935873
141879,876,1225,58.863368769442786
1736587,1784,478,14.712369055097042
1337359,2740,659,26.497072605141057
1671318,565,509,37.754667311779485
1137499,3103,742,33.58303401137027
1070190,1244,769,-19.45278448507179
241932,2858,1153,12.372422353149886
415108,2017,1049,23.110922572428535
569723,1559,972,4.693499352673825
1565507,961,559,-28.30871155736395
990391,2790,802,-11.655705230799867
2116635,2213,268,1.6111739280722759
2202686,2236,151,-36.534333442788466
1371949,1590,644,10.61404373522737
696843,1706,917,1.8566093060708226
1949157,1818,367,-6.230339514868774
1979656,2133,350,18.644817679308744
974627,2120,808,38.148651460335714
1511351,2362,586,-7.545356939160683
468398,1431,1021,-1.3094356333976975
592938,2829,962,-41.035771449145614
639437,1840,941,12.33672073220896
1825237,1328,433,-3.7585585584565706
133866,2486,1232,-34.095111214437566
1752974,2050,470,8.605228638377412
2045802,1501,311,3.3870953459963857
2157465,2032,240,-4.558644166961585
2076737,1016,292,4.790070582758744
1543722,2154,570,-21.376818874844957
221325,1613,1166,-73.37510656536097
2178779,2379,215,-45.942099596205026
713108,3050,911,-37.31691502078502
817702,1499,869,-31.50944547998506
1848771,1751,421,12.853554841047298
666527,3184,930,6.539745627801494
2225924,2261,39,-53.69950241779952
11266,2752,1469,20.54735034006717
279199,2711,1127,2.8577465826929256
2123210,871,263,10.373764194456271
217737,3092,1169,-11.503874402808833
1436942,1387,618,-22.561336244424638
504456,1604,1003,-11.992629807888079
1998542,1837,339,2.1481991390664916
1611343,2175,538,-5.5431806501314895
1692642,933,499,-15.209183878772365
47697,2940,1372,3.0968603453534342
1959815,1747,361,1.2825768739794512
1822999,1029,434,-4.852948290281347
